spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,
5avYou6QKMsC1nnbOkqqm9,Armani,Jireel,10,8,40,Sweden,2024-11-19,55,False,182439,YEMAYA,2024-11-15,0.595,0.397,1,-15.26,1,0.0673,0.358,0.149,0.102,0.101,123.234,4,
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,1,0,Saudi Arabia,2024-11-19,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3,
4p7DTkyrKqT98xlIwYYfXz,Running Wild,Jin,2,-1,48,Saudi Arabia,2024-11-19,84,False,151646,Happy,2024-11-15,0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4,
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",3,0,-1,Saudi Arabia,2024-11-19,98,False,169917,APT.,2024-10-18,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4,
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,4,0,-1,Saudi Arabia,2024-11-19,92,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,5,1,-1,Saudi Arabia,2024-11-19,97,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,
5okjGjbI5S9GON1fM0delO,Alak Alak,Hassan El Rassam,6,-1,1,Saudi Arabia,2024-11-19,54,False,319399,Hassan El Rassam Collection,2000-01-01,0.446,0.669,11,-10.462,0,0.184,0.385,0.00000449,0.298,0.768,204.015,4,
0vGAjG4vLZmyZvnCWKW0WG,ايباه (ريمكس),Bee Remix,7,0,-2,Saudi Arabia,2024-11-19,58,False,159168,ايباه (ريمكس),2024-06-11,0.691,0.758,0,-6.106,0,0.0965,0.466,0,0.327,0.844,91.207,4,
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,8,1,0,Saudi Arabia,2024-11-19,84,False,236906,Submarine,2024-05-31,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4,
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,9,-1,41,Saudi Arabia,2024-11-19,89,False,181677,I'll Be There,2024-10-25,0.538,0.738,10,-2.412,1,0.0445,0.0351,0,0.0898,0.736,148.887,4,
